time	V(vin)	V(vo1)	V(vo2)
1.880430530868833e-03	2.726889e+00	3.255091e+00	2.728750e+00
1.892288789797404e-03	2.501646e+00	3.026282e+00	2.503766e+00
1.904147048725975e-03	2.264589e+00	2.784656e+00	2.266951e+00
1.916005307654546e-03	2.015721e+00	2.530213e+00	2.018306e+00
1.927863566583117e-03	1.755039e+00	2.262953e+00	1.757831e+00
1.939721825511689e-03	1.482546e+00	1.982877e+00	1.485527e+00
1.951580084440260e-03	1.198239e+00	1.689983e+00	1.201392e+00
1.955765352297403e-03	1.097303e+00	1.585576e+00	1.100511e+00
1.959950620154546e-03	9.957840e-01	1.479778e+00	9.990402e-01
1.964135888011688e-03	8.936831e-01	1.372590e+00	8.969810e-01
1.968321155868831e-03	7.910001e-01	1.264012e+00	7.943327e-01
1.972506423725974e-03	6.877351e-01	1.154043e+00	6.910955e-01
1.976691691583117e-03	5.838880e-01	1.042683e+00	5.872693e-01
1.980876959440259e-03	4.794588e-01	9.299338e-01	4.828541e-01
1.985759771940259e-03	3.574186e-01	7.943401e-01	3.607929e-01
1.990642584440259e-03	2.350420e-01	6.518055e-01	2.383106e-01
1.995525396940259e-03	1.124442e-01	4.977003e-01	1.153911e-01
1.997598985598334e-03	6.034179e-02	4.227141e-01	6.284745e-02
1.998928241725874e-03	2.693602e-02	3.647950e-01	2.876562e-02
1.999774141065750e-03	5.676452e-03	3.183967e-01	6.593626e-03
2.000554733862069e-03	-1.394195e-02	2.599446e-01	-1.472955e-02
2.001449635872485e-03	-3.643282e-02	1.645409e-01	-4.057063e-02
2.002217433501638e-03	-5.572838e-02	4.715805e-02	-6.393529e-02
2.003047997763552e-03	-7.659986e-02	-1.215968e-01	-8.981250e-02
2.003594085680449e-03	-9.032155e-02	-2.552971e-01	-1.062241e-01
2.003908997447611e-03	-9.823395e-02	-3.413054e-01	-1.144155e-01
2.004056626511257e-03	-1.019431e-01	-3.834563e-01	-1.170047e-01
2.004160779430352e-03	-1.045599e-01	-4.134103e-01	-1.175184e-01
2.004255302795487e-03	-1.069347e-01	-4.401142e-01	-1.162723e-01
2.004395102411003e-03	-1.104469e-01	-4.780082e-01	-1.109887e-01
2.004546618616248e-03	-1.142534e-01	-5.163097e-01	-1.007917e-01
2.004687996990553e-03	-1.178052e-01	-5.484633e-01	-8.687672e-02
2.004846796880522e-03	-1.217945e-01	-5.798086e-01	-6.722267e-02
2.005039283781179e-03	-1.266299e-01	-6.120728e-01	-4.067388e-02
2.005212039142514e-03	-1.309694e-01	-6.363487e-01	-1.642157e-02
2.005385954608047e-03	-1.353380e-01	-6.568933e-01	6.751150e-03
2.005559142308615e-03	-1.396881e-01	-6.743228e-01	2.722985e-02
2.005813317812487e-03	-1.460721e-01	-6.964983e-01	5.262160e-02
2.006045869192438e-03	-1.519127e-01	-7.144225e-01	7.128028e-02
2.006364652375216e-03	-1.599185e-01	-7.365071e-01	9.093494e-02
2.006723184968719e-03	-1.689218e-01	-7.595850e-01	1.081251e-01
2.007043388875347e-03	-1.769619e-01	-7.791650e-01	1.203930e-01
2.007387346924176e-03	-1.855976e-01	-7.995347e-01	1.315748e-01
2.008176201352169e-03	-2.054000e-01	-8.449889e-01	1.539292e-01
2.009506619252070e-03	-2.387893e-01	-9.193180e-01	1.883849e-01
2.010837037151971e-03	-2.721568e-01	-9.928811e-01	2.226356e-01
2.012167455051873e-03	-3.055024e-01	-1.065678e+00	2.566814e-01
2.013497872951774e-03	-3.388260e-01	-1.137709e+00	2.905223e-01
2.014828290851675e-03	-3.721278e-01	-1.208975e+00	3.241583e-01
2.016158708751577e-03	-4.054077e-01	-1.279474e+00	3.575894e-01
2.017489126651478e-03	-4.386656e-01	-1.349208e+00	3.908155e-01
2.032137564151478e-03	-8.022273e-01	-2.105664e+00	7.560528e-01
2.041903189151477e-03	-1.043148e+00	-2.598707e+00	9.978195e-01
2.051668814151477e-03	-1.278000e+00	-3.078383e+00	1.233635e+00
2.061434439151477e-03	-1.506784e+00	-3.544695e+00	1.463500e+00
2.071200064151477e-03	-1.729499e+00	-3.997641e+00	1.687414e+00
2.080965689151476e-03	-1.946146e+00	-4.437221e+00	1.905377e+00
2.090731314151476e-03	-2.156724e+00	-4.863436e+00	2.117390e+00
2.100496939151476e-03	-2.361234e+00	-5.276285e+00	2.323451e+00
2.116540465937190e-03	-2.680165e+00	-5.920540e+00	2.645323e+00
2.132583992722904e-03	-2.965644e+00	-6.497279e+00	2.933988e+00
2.148627519508618e-03	-3.217670e+00	-7.006501e+00	3.189446e+00
2.164671046294332e-03	-3.436242e+00	-7.448205e+00	3.411697e+00
2.180714573080046e-03	-3.621362e+00	-7.822394e+00	3.600741e+00
2.196758099865760e-03	-3.773029e+00	-8.129065e+00	3.756579e+00
2.212801626651474e-03	-3.891242e+00	-8.368219e+00	3.879209e+00
2.234425510580045e-03	-3.976430e+00	-8.542050e+00	3.970661e+00
2.256049394508615e-03	-3.991459e+00	-8.574594e+00	3.991803e+00
2.277673278437187e-03	-3.936329e+00	-8.465852e+00	3.942637e+00
2.299297162365758e-03	-3.811040e+00	-8.215824e+00	3.823163e+00
2.320921046294329e-03	-3.615592e+00	-7.824510e+00	3.633380e+00
2.342544930222899e-03	-3.349985e+00	-7.291910e+00	3.373289e+00
2.364168814151470e-03	-3.014218e+00	-6.618024e+00	3.042888e+00
2.376027073080042e-03	-2.806780e+00	-6.201461e+00	2.838076e+00
2.387885332008613e-03	-2.587018e+00	-5.759304e+00	2.620761e+00
2.399743590937184e-03	-2.354932e+00	-5.291552e+00	2.390946e+00
2.411601849865755e-03	-2.110524e+00	-4.798206e+00	2.148629e+00
2.423460108794327e-03	-1.853791e+00	-4.279265e+00	1.893811e+00
